Year,Month,Product,Sub-product,Count
2012,8,Bank account or service,(CD) Certificate of deposit,79
2012,8,Bank account or service,Cashing a check without an account,12
2012,8,Bank account or service,Checking account,949
2012,8,Bank account or service,Other bank product/service,104
2012,8,Bank account or service,Savings account,83
2012,8,Consumer Loan,Installment loan,24
2012,8,Consumer Loan,Personal line of credit,43
2012,8,Consumer Loan,Vehicle lease,11
2012,8,Consumer Loan,Vehicle loan,139
2012,8,Credit card or prepaid card,(Blank),1255
2012,8,Mortgage,Conventional adjustable mortgage (ARM),342
2012,8,Mortgage,Conventional fixed mortgage,872
2012,8,Mortgage,FHA mortgage,285
2012,8,Mortgage,Home equity loan or line of credit,124
2012,8,Mortgage,Other mortgage,2121
2012,8,Mortgage,Reverse mortgage,20
2012,8,Mortgage,Second mortgage,32
2012,8,Mortgage,VA mortgage,50
2012,8,Student loan,Non-federal student loan,216
2012,9,Bank account or service,(CD) Certificate of deposit,61
2012,9,Bank account or service,Cashing a check without an account,5
2012,9,Bank account or service,Checking account,856
2012,9,Bank account or service,Other bank product/service,85
2012,9,Bank account or service,Savings account,59
2012,9,Consumer Loan,Installment loan,27
2012,9,Consumer Loan,Personal line of credit,36
2012,9,Consumer Loan,Vehicle lease,8
2012,9,Consumer Loan,Vehicle loan,102
2012,9,Credit card or prepaid card,(Blank),970
2012,9,Mortgage,Conventional adjustable mortgage (ARM),308
2012,9,Mortgage,Conventional fixed mortgage,784
2012,9,Mortgage,FHA mortgage,252
2012,9,Mortgage,Home equity loan or line of credit,126
2012,9,Mortgage,Other mortgage,1471
2012,9,Mortgage,Reverse mortgage,14
2012,9,Mortgage,Second mortgage,20
2012,9,Mortgage,VA mortgage,35
2012,9,Student loan,Non-federal student loan,183
2012,10,Bank account or service,(CD) Certificate of deposit,70
2012,10,Bank account or service,Cashing a check without an account,12
2012,10,Bank account or service,Checking account,933
2012,10,Bank account or service,Other bank product/service,96
2012,10,Bank account or service,Savings account,80
2012,10,Consumer Loan,Installment loan,33
2012,10,Consumer Loan,Personal line of credit,26
2012,10,Consumer Loan,Vehicle lease,20
2012,10,Consumer Loan,Vehicle loan,153
2012,10,Credit card or prepaid card,(Blank),1336
2012,10,"Credit reporting, credit repair services, or other personal consumer reports",(Blank),353
2012,10,Mortgage,Conventional adjustable mortgage (ARM),359
2012,10,Mortgage,Conventional fixed mortgage,841
2012,10,Mortgage,FHA mortgage,279
2012,10,Mortgage,Home equity loan or line of credit,134
2012,10,Mortgage,Other mortgage,1571
2012,10,Mortgage,Reverse mortgage,16
2012,10,Mortgage,Second mortgage,23
2012,10,Mortgage,VA mortgage,51
2012,10,Student loan,Non-federal student loan,262
2012,11,Bank account or service,(CD) Certificate of deposit,56
2012,11,Bank account or service,Cashing a check without an account,8
2012,11,Bank account or service,Checking account,732
2012,11,Bank account or service,Other bank product/service,71
2012,11,Bank account or service,Savings account,56
2012,11,Consumer Loan,Installment loan,22
2012,11,Consumer Loan,Personal line of credit,27
2012,11,Consumer Loan,Vehicle lease,14
2012,11,Consumer Loan,Vehicle loan,110
2012,11,Credit card or prepaid card,(Blank),1071
2012,11,"Credit reporting, credit repair services, or other personal consumer reports",(Blank),778
2012,11,Mortgage,Conventional adjustable mortgage (ARM),312
2012,11,Mortgage,Conventional fixed mortgage,762
2012,11,Mortgage,FHA mortgage,255
2012,11,Mortgage,Home equity loan or line of credit,104
2012,11,Mortgage,Other mortgage,1388
2012,11,Mortgage,Reverse mortgage,18
2012,11,Mortgage,Second mortgage,10
2012,11,Mortgage,VA mortgage,46
2012,11,Student loan,Non-federal student loan,223
2012,12,Bank account or service,(CD) Certificate of deposit,45
2012,12,Bank account or service,Cashing a check without an account,1
2012,12,Bank account or service,Checking account,714
2012,12,Bank account or service,Other bank product/service,81
2012,12,Bank account or service,Savings account,52
2012,12,Consumer Loan,Installment loan,30
2012,12,Consumer Loan,Personal line of credit,26
2012,12,Consumer Loan,Vehicle lease,13
2012,12,Consumer Loan,Vehicle loan,124
2012,12,Credit card or prepaid card,(Blank),1017
2012,12,"Credit reporting, credit repair services, or other personal consumer reports",(Blank),720
2012,12,Mortgage,Conventional adjustable mortgage (ARM),348
2012,12,Mortgage,Conventional fixed mortgage,738
2012,12,Mortgage,FHA mortgage,257
2012,12,Mortgage,Home equity loan or line of credit,123
2012,12,Mortgage,Other mortgage,1581
2012,12,Mortgage,Reverse mortgage,31
2012,12,Mortgage,Second mortgage,20
2012,12,Mortgage,VA mortgage,46
2012,12,Student loan,Non-federal student loan,183
2013,1,Bank account or service,(CD) Certificate of deposit,43
2013,1,Bank account or service,Cashing a check without an account,3
2013,1,Bank account or service,Checking account,995
2013,1,Bank account or service,Other bank product/service,94
2013,1,Bank account or service,Savings account,69
2013,1,Consumer Loan,Installment loan,26
2013,1,Consumer Loan,Personal line of credit,35
2013,1,Consumer Loan,Vehicle lease,12
2013,1,Consumer Loan,Vehicle loan,162
2013,1,Credit card or prepaid card,(Blank),1131
2013,1,"Credit reporting, credit repair services, or other personal consumer reports",(Blank),899
2013,1,Mortgage,Conventional adjustable mortgage (ARM),676
2013,1,Mortgage,Conventional fixed mortgage,1774
2013,1,Mortgage,FHA mortgage,365
2013,1,Mortgage,Home equity loan or line of credit,201
2013,1,Mortgage,Other mortgage,2702
2013,1,Mortgage,Reverse mortgage,33
2013,1,Mortgage,Second mortgage,26
2013,1,Mortgage,VA mortgage,76
2013,1,Student loan,Non-federal student loan,259
2013,2,Bank account or service,(CD) Certificate of deposit,49
2013,2,Bank account or service,Cashing a check without an account,3
2013,2,Bank account or service,Checking account,823
2013,2,Bank account or service,Other bank product/service,76
2013,2,Bank account or service,Savings account,87
2013,2,Consumer Loan,Installment loan,26
2013,2,Consumer Loan,Personal line of credit,32
2013,2,Consumer Loan,Vehicle lease,19
2013,2,Consumer Loan,Vehicle loan,125
2013,2,Credit card or prepaid card,(Blank),1119
2013,2,"Credit reporting, credit repair services, or other personal consumer reports",(Blank),1046
2013,2,Mortgage,Conventional adjustable mortgage (ARM),465
2013,2,Mortgage,Conventional fixed mortgage,1360
